"Band_1";"Band_2";"Band_3";"Band_4";"Band_5";"Band_7"
0;0;0;0;0;0
0.016;0;0;0;0;0
0.027;0;0;0;0;0
0.048;0;0;0;0;0
0.094;0;0;0;0;0
0.167;0;0;0;0;0
0.287;0;0;0;0;0
0.459;0;0;0;0;0
0.605;0;0;0;0;0
0.728;0;0;0;0;0
0.769;0;0;0;0;0
0.792;0;0;0;0;0
0.821;0;0;0;0;0
0.821;0;0;0;0;0
0.857;0;0;0;0;0
0.862;0;0;0;0;0
0.839;0;0;0;0;0
0.845;0;0;0;0;0
0.81;0;0;0;0;0
0.802;0;0;0;0;0
0.804;0;0;0;0;0
0.779;0;0;0;0;0
0.798;0;0;0;0;0
0.816;0;0;0;0;0
0.876;0;0;0;0;0
0.876083333333333;0;0;0;0;0
0.888076923076923;0;0;0;0;0
0.901058823529412;0;0;0;0;0
0.917954545454545;0;0;0;0;0
0.896142857142857;0;0;0;0;0
0.902933333333333;0;0;0;0;0
0.8885;0;0;0;0;0
0.889962962962963;0;0;0;0;0
0.862666666666667;0;0;0;0;0
0.859944444444444;0;0;0;0;0
0.866;0;0;0;0;0
0.875;0;0;0;0;0
0.881;0;0;0;0;0
0.888;0;0;0;0;0
0.898;0;0;0;0;0
0.879;0;0;0;0;0
0.884;0;0;0;0;0
0.907;0;0;0;0;0
0.928;0;0;0;0;0
0.932;0;0;0;0;0
0.955;0;0;0;0;0
0.958;0;0;0;0;0
0.948;0;0;0;0;0
0.952;0;0;0;0;0
0.956;0;0;0;0;0
0.956;0;0;0;0;0
0.98;0;0;0;0;0
0.975;0;0;0;0;0
0.973;0;0;0;0;0
0.977;0;0;0;0;0
0.958;0;0;0;0;0
0.965;0;0;0;0;0
0.957;0;0;0;0;0
0.952;0;0;0;0;0
0.973;0;0;0;0;0
0.974;0;0;0;0;0
0.995;0;0;0;0;0
0.995;0;0;0;0;0
0.986;0;0;0;0;0
0.994;0;0;0;0;0
1;0;0;0;0;0
1;0.000599999999999934;0;0;0;0
0.99;0.000899999999999679;0;0;0;0
0.976;0.001;0;0;0;0
0.983;0.001;0;0;0;0
0.976;0.002;0;0;0;0
0.983;0.003;0;0;0;0
0.96;0.005;0;0;0;0
0.973;0.00899999999999999;0;0;0;0
0.964;0.0145;0;0;0;0
0.975;0.0236;0;0;0;0
0.96;0.026;0;0;0;0
0.932;0.041;0;0;0;0
0.853;0.06;0;0;0;0
0.684;0.088;0;0;0;0
0.486;0.126;0;0;0;0
0.293;0.174;0;0;0;0
0.15;0.236;0;0;0;0
0.073;0.308;0;0;0;0
0.036;0.388;0;0;0;0
0.019;0.472;0;0;0;0
0.009;0.552;0;0;0;0
0.009;0.621;0;0;0;0
0.009;0.676;0;0;0;0
0.009;0.716;0;0;0;0
0.009;0.743;0;0;0;0
0.009;0.759;0;0;0;0
0.009;0.769;0;0;0;0
0.009;0.779;0;0;0;0
0.009;0.79;0;0;0;0
0.009;0.805;0;0;0;0
0.009;0.822;0;0;0;0
0.009;0.842;0;0;0;0
0.009;0.861;0;0;0;0
0.009;0.878;0;0;0;0
0.009;0.893;0;0;0;0
0.009;0.905;0;0;0;0
0.009;0.916;0;0;0;0
0.009;0.924;0;0;0;0
0.009;0.933;0;0;0;0
0.009;0.933111111111111;0;0;0;0
0.009;0.947;0;0;0;0
0.009;0.94725;0;0;0;0
0.009;0.953;0;0;0;0
0.009;0.952;0;0;0;0
0.009;0.951;0;0;0;0
0.009;0.952;0;0;0;0
0.009;0.952;0;0;0;0
0.009;0.952;0;0;0;0
0.009;0.952;0;0;0;0
0.009;0.952;0;0;0;0
0.009;0.953;0;0;0;0
0;0.9525;0;0;0;0
0;0.9525;0;0;0;0
0;0.9525;0;0;0;0
0;0.951;0;0;0;0
0;0.951333333333333;0;0;0;0
0;0.96;0;0;0;0
0;0.960166666666667;0;0;0;0
0;0.968;0;0;0;0
0;0.967666666666667;0;0;0;0
0;0.959;0;0;0;0
0;0.958875;0;0;0;0
0;0.944;0;0;0;0
0;0.937;0;0;0;0
0;0.932;0;0;0;0
0;0.933;0;0;0;0
0;0.935;0;0;0;0
0;0.937;0;0;0;0
0;0.94;0;0;0;0
0;0.945;0;0;0;0
0;0.951;0;0;0;0
0;0.955;0;0;0;0
0;0.957;0;0;0;0
0;0.956;0;0;0;0
0;0.957;0;0;0;0
0;0.955;0;0;0;0
0;0.952;0;0;0;0
0;0.954;0;0;0;0
0;0.958;0;0;0;0
0;0.963;0;0;0;0
0;0.973;0;0;0;0
0;0.981;0;0;0;0
0;0.988;0;0;0;0
0;0.995;0;0;0;0
0;0.995;0;0;0;0
0;1;0;0;0;0
0;0.994;0;0;0;0
0;0.983;0;0;0;0
0;0.969;0;0;0;0
0;0.954;0;0;0;0
0;0.942;0;0;0;0
0;0.936;0;0;0;0
0;0.932;0;0;0;0
0;0.928;0;0;0;0
0;0.924;0;0;0;0
0;0.912;0;0;0;0
0;0.883;0;0;0;0
0;0.834;0;0;0;0
0;0.763;0;0;0;0
0;0.674;0;0;0;0
0;0.574;0;0;0;0
0;0.473;0;0;0;0
0;0.38;0;0;0;0
0;0.3;0;0;0;0
0;0.235;0;0;0;0
0;0.185;0;0;0;0
0;0.146;0;0;0;0
0;0.117;0;0;0;0
0;0.094;0;0;0;0
0;0.077;0;0;0;0
0;0.062;0;0;0;0
0;0.052;0;0;0;0
0;0.042;0;0;0;0
0;0.033;0;0;0;0
0;0.026;0.000499999999999945;0;0;0
0;0.021;9.99999999997669e-05;0;0;0
0;0.0158;0;0;0;0
0;0.01235;0.000499999999999723;0;0;0
0;0.00940000000000002;0.000600000000000045;0;0;0
0;0.00717000000000001;0.00140000000000007;0;0;0
0;0.00480000000000003;0.002;0;0;0
0;0.00370000000000004;0.003;0;0;0
0;0.00260000000000005;0.00600000000000001;0;0;0
0;0.00170000000000003;0.013;0;0;0
0;0.00140000000000001;0.025;0;0;0
0;0.00140000000000001;0.047;0;0;0
0;0.00140000000000001;0.083;0;0;0
0;0.00140000000000001;0.137;0;0;0
0;0.00140000000000001;0.211;0;0;0
0;0.00140000000000001;0.306;0;0;0
0;0.00140000000000001;0.419;0;0;0
0;0.00140000000000001;0.545;0;0;0
0;0.00140000000000001;0.674;0;0;0
0;0.00140000000000001;0.788;0;0;0
0;0.00140000000000001;0.873;0;0;0
0;0.00140000000000001;0.921;0;0;0
0;0.00140000000000001;0.941;0;0;0
0;0.00140000000000001;0.943;0;0;0
0;0.00140000000000001;0.942;0;0;0
0;0.00140000000000001;0.939;0;0;0
0;0.00140000000000001;0.937;0;0;0
0;0.00140000000000001;0.937;0;0;0
0;0.00140000000000001;0.935;0;0;0
0;0.00140000000000001;0.938;0;0;0
0;0.00140000000000001;0.943;0;0;0
0;0.00140000000000001;0.949;0;0;0
0;0.00140000000000001;0.953;0;0;0
0;0.00140000000000001;0.961;0;0;0
